Stichtag,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018
Geschlecht,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich,männlich,weiblich
Berlin,1659643,1735546,1665753,1738284,1672226,1744029,1680502,1751173,1686256,1756419,1695438,1765287,1617768,1708234,1644451,1730771,1669791,1752038,1696218,1773631,1726533,1793498,1755700,1819130,1776267,1837228,1792801,1852025
01  Mitte,164744,158000,167398,159024,168712,159716,169421,160171,171688,161749,171388,161811,164967,157293,169345,160624,173473,164120,-,-,-,-,-,-,-,-,-,-
02  Friedrichshain-Kreuzberg,133684,128127,135838,130019,136924,130995,138326,132246,137279,131560,137825,132333,129687,125008,132074,127409,134278,129248,-,-,-,-,-,-,-,-,-,-
03  Pankow,175472,178438,177509,180701,180023,183578,181410,185489,180378,185319,182999,187939,174679,183826,177951,186843,181289,190149,-,-,-,-,-,-,-,-,-,-
04  Charlottenburg-Wilmersdorf,148409,166671,148892,166665,149633,167254,150491,167717,151536,168551,151546,168912,137630,155897,140756,157811,142912,159401,-,-,-,-,-,-,-,-,-,-
05  Spandau,108911,116131,108644,115660,108285,115367,108581,115232,108579,115145,110085,116155,103699,112406,105214,113721,107039,115261,-,-,-,-,-,-,-,-,-,-
06  Steglitz-Zehlendorf,133180,155490,133137,155438,133981,156324,134933,156938,136107,157618,137384,158353,128372,150564,129942,151662,131463,152850,-,-,-,-,-,-,-,-,-,-
07  Tempelhof-Schöneberg,159841,173322,159774,172292,159823,171967,160497,172613,161526,173467,162501,173643,152810,166464,153776,167141,155799,168409,-,-,-,-,-,-,-,-,-,-
08  Neukölln,151458,154442,151567,153891,152491,154222,154175,155717,155428,156939,154733,157425,150031,153014,152627,155715,154580,157363,-,-,-,-,-,-,-,-,-,-
09  Treptow-Köpenick,114717,120619,115101,121423,115819,121958,116567,122838,117426,123626,118137,124446,115471,124001,116928,125072,117896,126120,-,-,-,-,-,-,-,-,-,-
10 Marzahn-Hellersdorf,123905,126508,123525,126356,123263,126088,122653,125497,122519,125507,123613,126369,120088,125841,121491,127295,122685,128322,-,-,-,-,-,-,-,-,-,-
11 Lichtenberg,128405,130489,128247,130491,127500,130598,127689,131180,127883,131780,128845,132772,123953,130235,126248,132338,128730,134030,-,-,-,-,-,-,-,-,-,-
12 Reinickendorf,116917,127309,116121,126324,115772,125962,115759,125535,115907,125158,116382,125129,116381,123685,118099,125140,119647,126765,-,-,-,-,-,-,-,-,-,-
Berlin gesamt (ab 2014),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1696218,1773631,1726533,1793498,1755700,1819130,1776267,1837228,1792801,1852025
